APS,ABPS,subARP,mis_match,subTCP,TCP_rate,ARP Spoofing,IP Spoofing
6,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
10,222,4,1,0,0,1,0
78,209,4,1,0,0,1,0
156,202,4,1,0,0,1,0
126,202,4,1,0,0,1,0
52,203,4,1,0,0,1,0
50,213,4,1,0,0,1,0
40,200,4,1,0,0,1,0
58,36,4,1,0,0,1,0
84,0,4,1,0,0,1,0
66,0,4,1,0,0,1,0
20,0,4,1,0,0,1,0
4,0,4,1,0,0,1,0
0,0,4,1,0,0,1,0
0,0,4,1,0,0,1,0
0,80,4,1,0,0,1,0
32,225,4,1,0,0,1,0
138,197,4,1,0,0,1,0
176,183,4,1,0,0,1,0
90,226,4,1,0,0,1,0
62,232,4,1,0,0,1,0
52,228,4,1,0,0,1,0
38,76,4,1,0,0,1,0
24,0,4,1,0,0,1,0
14,0,4,1,0,0,1,0
12,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
4,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
16,92,4,1,0,0,1,0
52,67,4,1,0,0,1,0
68,65,4,1,0,0,1,0
58,53,4,1,0,0,1,0
34,86,4,1,0,0,1,0
44,87,4,1,0,0,1,0
34,49,4,1,0,0,1,0
26,0,4,1,0,0,1,0
16,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
4,0,4,1,0,0,1,0
132,2833,4,1,0,0,1,0
54,233,4,1,0,0,1,0
37,199,1,1,0,0,1,0
38,11,2,1,0,0,1,0
44,0,2,1,0,0,1,0
30,0,2,1,0,0,1,0
2,0,0,0,0,0,1,0
6,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
2,142,2,1,0,0,1,0
46,233,2,1,0,0,1,0
136,232,2,1,0,0,1,0
114,191,2,1,0,0,1,0
82,166,2,1,0,0,1,0
72,182,2,1,0,0,1,0
42,178,2,1,0,0,1,0
32,14,2,1,0,0,1,0
40,0,2,1,0,0,1,0
18,0,2,1,0,0,1,0
2,0,2,1,0,0,1,0
2,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,122,2,1,0,0,1,0
36,208,2,1,0,0,1,0
134,221,2,1,0,0,1,0
160,203,2,1,0,0,1,0
70,213,2,1,0,0,1,0
38,163,2,1,0,0,1,0
56,185,2,1,0,0,1,0
62,87,2,1,0,0,1,0
70,0,2,1,0,0,1,0
48,0,2,1,0,0,1,0
22,0,2,1,0,0,1,0
2,0,2,1,0,0,1,0
2,0,2,1,0,0,1,0
2,0,2,1,0,0,1,0
2,10,2,1,0,0,1,0
2,205,2,1,0,0,1,0
65,174,1,1,0,0,1,0
144,212,2,1,0,0,1,0
128,216,2,1,0,0,1,0
56,207,2,1,0,0,1,0
46,217,2,1,0,0,1,0
48,167,2,1,0,0,1,0
80,4,2,1,0,0,1,0
62,0,2,1,0,0,1,0
38,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
0,131,2,1,0,0,1,0
56,231,2,1,0,0,1,0
148,216,2,1,0,0,1,0
110,219,2,1,0,0,1,0
50,183,2,1,0,0,1,0
52,210,2,1,0,0,1,0
58,128,2,1,0,0,1,0
52,3,2,1,0,0,1,0
44,0,2,1,0,0,1,0
23,0,2,1,0,0,1,0
1,0,2,1,0,0,1,0
3,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
3,111,2,1,0,0,1,0
35,181,2,1,0,0,1,0
113,183,2,1,0,0,1,0
154,215,2,1,0,0,1,0
84,209,2,1,0,0,1,0
63,176,1,1,0,0,1,0
45,228,1,1,0,0,1,0
60,89,2,1,0,0,1,0
68,0,2,1,0,0,1,0
39,0,1,1,0,0,1,0
1,0,1,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,220,2,1,0,0,1,0
98,218,2,1,0,0,1,0
174,178,2,1,0,0,1,0
128,219,2,1,0,0,1,0
48,231,2,1,0,0,1,0
42,203,2,1,0,0,1,0
51,85,1,1,0,0,1,0
49,0,1,1,0,0,1,0
25,0,1,1,0,0,1,0
10,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
4,9,2,1,0,0,1,0
2,214,2,1,0,0,1,0
88,230,2,1,0,0,1,0
140,203,0,0,0,0,1,0
100,185,0,0,0,0,1,0
58,230,2,1,0,0,1,0
68,185,2,1,0,0,1,0
46,189,2,1,0,0,1,0
72,22,2,1,0,0,1,0
48,0,2,1,0,0,1,0
36,0,2,1,0,0,1,0
8,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
3,0,0,0,0,0,1,0
4,0,0,0,0,0,1,0
4,63,2,1,0,0,1,0
20,200,2,1,0,0,1,0
130,209,2,1,0,0,1,0
154,197,2,1,0,0,1,0
92,188,2,1,0,0,1,0
46,201,2,1,0,0,1,0
62,164,2,1,0,0,1,0
68,179,0,0,0,0,1,0
58,0,0,0,0,0,1,0
38,0,0,0,0,0,1,0
22,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
5,0,2,1,0,0,1,0
4,150,2,1,0,0,1,0
48,199,2,1,0,0,1,0
128,187,2,1,0,0,1,0
154,196,2,1,0,0,1,0
50,202,2,1,0,0,1,0
46,242,2,1,0,0,1,0
72,182,2,1,0,0,1,0
76,85,2,1,0,0,1,0
72,0,2,1,0,0,1,0
44,0,2,1,0,0,1,0
12,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
7,6,2,1,0,0,1,0
4,211,2,1,0,0,1,0
88,201,2,1,0,0,1,0
148,197,2,1,0,0,1,0
134,198,2,1,0,0,1,0
61,183,7,1,0,0,1,0
46,181,2,1,0,0,1,0
60,188,2,1,0,0,1,0
72,20,2,1,0,0,1,0
56,0,2,1,0,0,1,0
48,0,2,1,0,0,1,0
26,0,2,1,0,0,1,0
8,0,2,1,0,0,1,0
9,0,2,1,0,0,1,0
10,0,2,1,0,0,1,0
11,59,2,1,0,0,1,0
14,211,2,1,0,0,1,0
120,210,2,1,0,0,1,0
152,192,2,1,0,0,1,0
84,185,2,1,0,0,1,0
66,243,2,1,0,0,1,0
64,196,2,1,0,0,1,0
50,59,2,1,0,0,1,0
58,0,2,1,0,0,1,0
32,0,2,1,0,0,1,0
26,0,2,1,0,0,1,0
8,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
12,0,2,1,0,0,1,0
13,14,2,1,0,0,1,0
14,178,2,1,0,0,1,0
100,236,2,1,0,0,1,0
154,218,2,1,0,0,1,0
104,204,2,1,0,0,1,0
52,212,2,1,0,0,1,0
64,201,2,1,0,0,1,0
64,134,2,1,0,0,1,0
60,0,2,1,0,0,1,0
40,0,2,1,0,0,1,0
16,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
15,0,2,1,0,0,1,0
16,0,2,1,0,0,1,0
17,0,2,1,0,0,1,0
18,129,2,1,0,0,1,0
54,230,2,1,0,0,1,0
140,202,2,1,0,0,1,0
136,183,2,1,0,0,1,0
58,205,2,1,0,0,1,0
40,215,2,1,0,0,1,0
66,211,2,1,0,0,1,0
68,11,2,1,0,0,1,0
70,0,2,1,0,0,1,0
36,0,2,1,0,0,1,0
16,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
19,0,2,1,0,0,1,0
20,0,2,1,0,0,1,0
0,118,2,1,0,0,1,0
14,197,2,1,0,0,1,0
112,208,2,1,0,0,1,0
146,237,2,1,0,0,1,0
72,193,2,1,0,0,1,0
58,186,2,1,0,0,1,0
56,199,2,1,0,0,1,0
60,27,2,1,0,0,1,0
68,0,2,1,0,0,1,0
46,0,2,1,0,0,1,0
16,0,2,1,0,0,1,0
21,0,2,1,0,0,1,0
22,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,191,2,1,0,0,1,0
100,185,2,1,0,0,1,0
124,220,2,1,0,0,1,0
86,195,2,1,0,0,1,0
72,185,2,1,0,0,1,0
58,205,2,1,0,0,1,0
50,140,2,1,0,0,1,0
64,1,2,1,0,0,1,0
40,0,2,1,0,0,1,0
24,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
23,194,2,1,0,0,1,0
80,221,2,1,0,0,1,0
136,192,2,1,0,0,1,0
78,237,2,1,0,0,1,0
30,203,2,1,0,0,1,0
42,207,2,1,0,0,1,0
68,71,-2,0,0,0,1,0
84,0,0,0,0,0,1,0
54,0,0,0,0,0,1,0
24,0,2,1,0,0,1,0
24,0,2,1,0,0,1,0
25,0,2,1,0,0,1,0
26,0,2,1,0,0,1,0
27,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
6,0,4,1,0,0,1,0
28,0,2,1,0,0,1,0
29,45,2,1,0,0,1,0
38,250,2,1,0,0,1,0
130,236,2,1,0,0,1,0
6,236,2,1,0,0,1,0
116,250,2,1,0,0,1,0
152,221,2,1,0,0,1,0
56,234,2,1,0,0,1,0
38,213,2,1,0,0,1,0
80,119,2,1,0,0,1,0
66,0,0,0,0,0,1,0
9,1,1,1,0,0,1,0
9,0,3,1,0,0,1,0
8,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
30,96,2,1,0,0,1,0
42,197,2,1,0,0,1,0
138,182,2,1,0,0,1,0
122,229,2,1,0,0,1,0
56,213,2,1,0,0,1,0
40,247,2,1,0,0,1,0
68,65,2,1,0,0,1,0
70,0,2,1,0,0,1,0
20,0,2,1,0,0,1,0
0,0,0,0,0,0,1,0
6,19,2,1,0,0,1,0
58,240,2,1,0,0,1,0
143,243,-1,0,0,0,1,0
68,295,2,1,0,0,1,0
52,290,2,1,0,0,1,0
74,0,2,1,0,0,1,0
42,0,2,1,0,0,1,0
31,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
6,15,2,1,0,0,1,0
64,221,2,1,0,0,1,0
150,219,2,1,0,0,1,0
116,249,2,1,0,0,1,0
34,273,2,1,0,0,1,0
22,237,2,1,0,0,1,0
64,99,2,1,0,0,1,0
77,1,3,1,0,0,1,0
21,0,3,1,0,0,1,0
8,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
12,78,2,1,0,0,1,0
22,237,2,1,0,0,1,0
130,223,2,1,0,0,1,0
140,251,6,1,0,0,1,0
56,362,6,1,0,0,1,0
34,105,4,1,0,0,1,0
34,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
6,45,2,1,0,0,1,0
52,258,2,1,0,0,1,0
140,406,4,1,0,0,1,0
58,273,2,1,0,0,1,0
60,237,2,1,0,0,1,0
64,19,2,1,0,0,1,0
56,0,2,1,0,0,1,0
48,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
10,0,4,1,0,0,1,0
4,14,4,1,0,0,1,0
38,360,4,1,0,0,1,0
130,262,4,1,0,0,1,0
82,224,2,1,0,0,1,0
50,310,2,1,0,0,1,0
64,212,4,1,0,0,1,0
70,0,4,1,0,0,1,0
52,0,4,1,0,0,1,0
20,0,2,1,0,0,1,0
6,0,2,1,0,0,1,0
10,0,4,1,0,0,1,0
10,56,2,1,0,0,1,0
16,184,4,1,0,0,1,0
134,219,4,1,0,0,1,0
110,213,2,1,0,0,1,0
50,273,4,1,0,0,1,0
52,303,4,1,0,0,1,0
70,0,4,1,0,0,1,0
56,0,4,1,0,0,1,0
10,0,4,1,0,0,1,0
6,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,6,2,1,0,0,1,0
6,234,2,1,0,0,1,0
122,240,4,1,0,0,1,0
146,229,4,1,0,0,1,0
48,219,4,1,0,0,1,0
66,213,4,1,0,0,1,0
64,194,2,1,0,0,1,0
54,0,2,1,0,0,1,0
48,0,4,1,0,0,1,0
12,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
10,55,4,1,0,0,1,0
24,241,4,1,0,0,1,0
106,313,4,1,0,0,1,0
96,193,4,1,0,0,1,0
58,376,4,1,0,0,1,0
58,248,4,1,0,0,1,0
56,0,4,1,0,0,1,0
18,0,2,1,0,0,1,0
8,0,2,1,0,0,1,0
10,0,4,1,0,0,1,0
10,81,4,1,0,0,1,0
68,343,4,1,0,0,1,0
71,237,3,1,0,0,1,0
54,244,4,1,0,0,1,0
48,96,4,1,0,0,1,0
44,0,4,1,0,0,1,0
24,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
4,0,4,1,0,0,1,0
10,0,4,1,0,0,1,0
6,103,0,0,0,0,1,0
60,225,2,1,0,0,1,0
136,383,4,1,0,0,1,0
63,231,1,1,0,0,1,0
50,235,4,1,0,0,1,0
42,136,4,1,0,0,1,0
40,0,4,1,0,0,1,0
22,0,2,1,0,0,1,0
8,0,2,1,0,0,1,0
14,0,4,1,0,0,1,0
12,0,2,1,0,0,1,0
4,67,2,1,0,0,1,0
16,342,4,1,0,0,1,0
134,290,4,1,0,0,1,0
72,227,4,1,0,0,1,0
46,221,4,1,0,0,1,0
70,105,4,1,0,0,1,0
68,0,2,1,0,0,1,0
18,0,2,1,0,0,1,0
4,0,4,1,0,0,1,0
6,0,2,1,0,0,1,0
12,42,4,1,0,0,1,0
40,246,4,1,0,0,1,0
102,232,2,1,0,0,1,0
98,227,2,1,0,0,1,0
56,202,4,1,0,0,1,0
58,244,4,1,0,0,1,0
64,0,4,1,0,0,1,0
30,0,4,1,0,0,1,0
4,0,2,1,0,0,1,0
6,0,0,0,0,0,1,0
8,0,2,1,0,0,1,0
28,43,4,1,0,0,1,0
18,0,0,0,0,0,1,0
14,0,4,1,0,0,1,0
51,1711,9,1,0,0,1,0
28,0,4,1,0,0,1,0
4,0,2,1,0,0,1,0
32,0,2,1,0,0,1,0
33,0,2,1,0,0,1,0
6,145,2,1,0,0,1,0
58,275,0,0,0,0,1,0
159,214,3,1,0,0,1,0
120,187,4,1,0,0,1,0
54,199,2,1,0,0,1,0
57,184,3,1,0,0,1,0
54,95,4,1,0,0,1,0
54,0,4,1,0,0,1,0
20,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
4,145,4,1,0,0,1,0
84,197,4,1,0,0,1,0
170,261,4,1,0,0,1,0
78,200,4,1,0,0,1,0
44,244,4,1,0,0,1,0
72,113,4,1,0,0,1,0
78,0,4,1,0,0,1,0
30,0,0,0,0,0,1,0
14,0,2,1,0,0,1,0
8,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
4,0,4,1,0,0,1,0
8,253,4,1,0,0,1,0
120,266,4,1,0,0,1,0
164,214,4,1,0,0,1,0
72,190,4,1,0,0,1,0
46,188,4,1,0,0,1,0
52,269,4,1,0,0,1,0
80,42,4,1,0,0,1,0
64,0,4,1,0,0,1,0
28,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
4,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
6,67,2,1,0,0,1,0
32,225,2,1,0,0,1,0
118,243,2,1,0,0,1,0
152,270,2,1,0,0,1,0
94,211,4,1,0,0,1,0
72,188,4,1,0,0,1,0
62,177,2,1,0,0,1,0
66,4,2,1,0,0,1,0
40,0,2,1,0,0,1,0
10,0,2,1,0,0,1,0
8,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
6,164,4,1,0,0,1,0
66,227,4,1,0,0,1,0
144,232,2,1,0,0,1,0
124,202,2,1,0,0,1,0
78,169,4,1,0,0,1,0
