APS,ABPS,SUBARP,MISS_MAC,Devi,TCP_Rate,ARP Spoofing,IP Spoofing,TAGS
26.0,55.0,0,0, 2, 60.36363636363637,0,1,IP_SPOOFING
52.0,46.0,0,0, 2, 61.09090909090909,0,1,IP_SPOOFING
76.0,74.0,0,0, 2, 59.63636363636363,0,1,IP_SPOOFING
74.0,92.0,0,0, 2, 60.36363636363637,0,1,IP_SPOOFING
52.0,75.0,0,0, 2, 60.36363636363637,0,1,IP_SPOOFING
26.0,54.0,0,0, 3, 60.0,0,1,IP_SPOOFING
18.0,81.0,0,0, 4, 61.45454545454545,0,1,IP_SPOOFING
22.0,49.0,0,0, 4, 60.36363636363637,0,1,IP_SPOOFING
18.0,32.0,0,0, 4, 59.63636363636363,0,1,IP_SPOOFING
20.0,0.0,0,0, 4, 61.09090909090909,0,1,IP_SPOOFING
18.0,0.0,0,0, 4, 60.36363636363637,0,1,IP_SPOOFING
12.0,0.0,0,0, 4, 61.09090909090909,0,1,IP_SPOOFING
2.0,0.0,0,0, 4, 60.36363636363637,0,1,IP_SPOOFING
0.0,0.0,0,0, 4, 4.363636363636363,0,1,IP_SPOOFING
2.0,0.0,0,0, 0, 0.7272727272727273,0,1,IP_SPOOFING
3.0,1.0,1,1, 0, 0.7272727272727273,0,1,IP_SPOOFING
7.0,0.0,1,1, 2, 1.4545454545454546,0,1,IP_SPOOFING
7.0,0.0,1,1, 0, 0.7272727272727273,0,1,IP_SPOOFING
12.0,0.0,0,0, 0, 0.0,0,1,IP_SPOOFING
8.0,0.0,0,0, 0, 1.4545454545454546,0,1,IP_SPOOFING
6.0,0.0,0,0, 79, 86.18181818181819,0,1,IP_SPOOFING
7.0,0.0,-1,0, 161, 90.18181818181819,0,1,IP_SPOOFING
8.0,1.0,0,0, 244, 91.27272727272727,0,1,IP_SPOOFING
14.0,0.0,0,0, 245, 20.0,0,1,IP_SPOOFING
8.0,0.0,0,0, 246, 21.454545454545453,0,1,IP_SPOOFING
6.0,0.0,0,0, 246, 20.363636363636363,0,1,IP_SPOOFING
3.0,0.0,-1,0, 246, 19.636363636363637,0,1,IP_SPOOFING
3.0,0.0,-1,0, 247, 21.454545454545453,0,1,IP_SPOOFING
5.0,0.0,-1,0, 247, 20.363636363636363,0,1,IP_SPOOFING
10.0,0.0,0,0, 247, 21.09090909090909,0,1,IP_SPOOFING
10.0,0.0,0,0, 247, 19.636363636363637,0,1,IP_SPOOFING
12.0,0.0,0,0, 247, 21.09090909090909,0,1,IP_SPOOFING
8.0,0.0,0,0, 247, 20.363636363636363,0,1,IP_SPOOFING
8.0,0.0,0,0, 247, 20.363636363636363,0,1,IP_SPOOFING
4.0,0.0,0,0, 247, 19.636363636363637,0,1,IP_SPOOFING
4.0,0.0,0,0, 248, 21.454545454545453,0,1,IP_SPOOFING
4.0,0.0,0,0, 249, 19.636363636363637,0,1,IP_SPOOFING
4.0,0.0,0,0, 249, 21.818181818181817,0,1,IP_SPOOFING
4.0,0.0,0,0, 249, 19.636363636363637,0,1,IP_SPOOFING
8.0,0.0,0,0, 249, 20.363636363636363,0,1,IP_SPOOFING
8.0,0.0,0,0, 251, 21.09090909090909,0,1,IP_SPOOFING
18.0,0.0,0,0, 251, 20.363636363636363,0,1,IP_SPOOFING
10.0,0.0,0,0, 251, 20.363636363636363,0,1,IP_SPOOFING
18.0,0.0,0,0, 251, 20.363636363636363,0,1,IP_SPOOFING
10.0,0.0,0,0, 251, 19.636363636363637,0,1,IP_SPOOFING
10.0,0.0,0,0, 251, 21.818181818181817,0,1,IP_SPOOFING
12.0,0.0,0,0, 251, 19.636363636363637,0,1,IP_SPOOFING
6.0,1.0,0,0, 251, 19.636363636363637,0,1,IP_SPOOFING
7.0,0.0,1,1, 253, 21.818181818181817,0,1,IP_SPOOFING
13.0,0.0,1,1, 253, 20.363636363636363,0,1,IP_SPOOFING
9.0,0.0,1,1, 253, 20.363636363636363,0,1,IP_SPOOFING
8.0,0.0,0,0, 253, 21.09090909090909,0,1,IP_SPOOFING
4.0,0.0,0,0, 253, 19.636363636363637,0,1,IP_SPOOFING
6.0,0.0,0,0, 253, 21.09090909090909,0,1,IP_SPOOFING
10.0,0.0,0,0, 253, 20.363636363636363,0,1,IP_SPOOFING
6.0,0.0,0,0, 253, 21.818181818181817,0,1,IP_SPOOFING
4.0,0.0,0,0, 253, 19.636363636363637,0,1,IP_SPOOFING
4.0,0.0,0,0, 253, 20.363636363636363,0,1,IP_SPOOFING
4.0,0.0,0,0, 253, 21.09090909090909,0,1,IP_SPOOFING
8.0,0.0,0,0, 254, 20.0,0,1,IP_SPOOFING
4.0,0.0,0,0, 254, 19.636363636363637,0,1,IP_SPOOFING
4.0,0.0,0,0, 254, 21.09090909090909,0,1,IP_SPOOFING
12.0,0.0,0,0, 254, 19.636363636363637,0,1,IP_SPOOFING
8.0,0.0,0,0, 254, 21.818181818181817,0,1,IP_SPOOFING
12.0,0.0,0,0, 254, 19.636363636363637,0,1,IP_SPOOFING
8.0,0.0,0,0, 254, 20.363636363636363,0,1,IP_SPOOFING
8.0,0.0,0,0, 254, 21.09090909090909,0,1,IP_SPOOFING
8.0,0.0,0,0, 254, 19.636363636363637,0,1,IP_SPOOFING
4.0,0.0,0,0, 254, 20.363636363636363,0,1,IP_SPOOFING
4.0,0.0,0,0, 254, 21.09090909090909,0,1,IP_SPOOFING
8.0,0.0,0,0, 254, 19.636363636363637,0,1,IP_SPOOFING
6.0,0.0,0,0, 254, 21.818181818181817,0,1,IP_SPOOFING
6.0,0.0,0,0, 254, 19.636363636363637,0,1,IP_SPOOFING
10.0,0.0,0,0, 254, 12.363636363636363,0,1,IP_SPOOFING
10.0,0.0,0,0, 55, 60.0,0,1,IP_SPOOFING
12.0,0.0,0,0, 137, 90.9090909090909,0,1,IP_SPOOFING
11.0,1.0,-1,0, 219, 90.18181818181819,0,1,IP_SPOOFING
20.0,0.0,0,0, 246, 62.18181818181818,0,1,IP_SPOOFING
12.0,0.0,0,0, 246, 19.636363636363637,0,1,IP_SPOOFING
11.0,0.0,1,1, 246, 21.818181818181817,0,1,IP_SPOOFING
6.0,0.0,0,0, 246, 20.363636363636363,0,1,IP_SPOOFING
6.0,0.0,0,0, 246, 21.09090909090909,0,1,IP_SPOOFING
8.0,0.0,0,0, 246, 19.636363636363637,0,1,IP_SPOOFING
8.0,0.0,0,0, 246, 20.363636363636363,0,1,IP_SPOOFING
8.0,0.0,0,0, 246, 20.363636363636363,0,1,IP_SPOOFING
8.0,0.0,0,0, 246, 21.09090909090909,0,1,IP_SPOOFING
4.0,0.0,0,0, 246, 19.636363636363637,0,1,IP_SPOOFING
4.0,0.0,0,0, 248, 20.0,0,1,IP_SPOOFING
10.0,0.0,0,0, 248, 19.636363636363637,0,1,IP_SPOOFING
6.0,0.0,0,0, 248, 21.818181818181817,0,1,IP_SPOOFING
6.0,0.0,0,0, 248, 19.636363636363637,0,1,IP_SPOOFING
4.0,0.0,0,0, 248, 20.363636363636363,0,1,IP_SPOOFING
4.0,0.0,0,0, 248, 21.09090909090909,0,1,IP_SPOOFING
10.0,0.0,0,0, 248, 19.636363636363637,0,1,IP_SPOOFING
