APS,ABPS,SUBARP,MISS_MAC,Devi,TCP_Rate,ARP Spoofing,IP Spoofing,TAGS
51.0,0.0,1,1, 0, 1.4545454545454546,0,0,Normal
38.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
2.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
2.0,0.0,0,0, 0, 0.0,0,0,Normal
2.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
12.0,217.0,0,0, 0, 0.7272727272727273,0,0,Normal
56.0,188.0,0,0, 0, 0.0,0,0,Normal
110.0,188.0,0,0, 0, 1.4545454545454546,0,0,Normal
134.0,164.0,0,0, 0, 0.0,0,0,Normal
122.0,155.0,0,0, 0, 0.0,0,0,Normal
74.0,171.0,0,0, 0, 0.7272727272727273,0,0,Normal
66.0,189.0,0,0, 0, 0.0,0,0,Normal
70.0,164.0,0,0, 0, 0.0,0,0,Normal
52.0,191.0,0,0, 0, 1.0909090909090908,0,0,Normal
56.0,63.0,0,0, 0, 0.7272727272727273,0,0,Normal
78.0,0.0,0,0, 0, 0.0,0,0,Normal
62.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
38.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
4.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
8.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,31.0,0,0, 0, 0.7272727272727273,0,0,Normal
4.0,163.0,0,0, 0, 0.7272727272727273,0,0,Normal
64.0,195.0,0,0, 0, 0.0,0,0,Normal
106.0,177.0,0,0, 0, 1.4545454545454546,0,0,Normal
124.0,195.0,0,0, 0, 0.0,0,0,Normal
94.0,206.0,0,0, 0, 0.7272727272727273,0,0,Normal
58.0,179.0,0,0, 0, 0.7272727272727273,0,0,Normal
68.0,139.0,0,0, 0, 0.0,0,0,Normal
78.0,177.0,0,0, 0, 0.0,0,0,Normal
72.0,177.0,0,0, 0, 0.0,0,0,Normal
74.0,61.0,0,0, 0, 0.0,0,0,Normal
86.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
62.0,0.0,0,0, 0, 0.0,0,0,Normal
46.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
4.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
2.0,0.0,0,0, 0, 0.0,0,0,Normal
4.0,0.0,0,0, 0, 0.0,0,0,Normal
10.0,0.0,0,0, 0, 0.0,0,0,Normal
10.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
8.0,34.0,0,0, 0, 1.0909090909090908,0,0,Normal
4.0,170.0,0,0, 0, 0.0,0,0,Normal
64.0,159.0,0,0, 0, 0.0,0,0,Normal
118.0,178.0,0,0, 0, 1.4545454545454546,0,0,Normal
140.0,177.0,0,0, 0, 0.7272727272727273,0,0,Normal
110.0,212.0,0,0, 0, 0.7272727272727273,0,0,Normal
70.0,178.0,0,0, 0, 0.0,0,0,Normal
48.0,171.0,0,0, 0, 1.4545454545454546,0,0,Normal
38.0,157.0,0,0, 0, 0.0,0,0,Normal
46.0,146.0,0,0, 0, 0.0,0,0,Normal
64.0,57.0,0,0, 0, 1.4545454545454546,0,0,Normal
88.0,0.0,0,0, 0, 0.0,0,0,Normal
60.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
40.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
10.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
6.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
4.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
8.0,28.0,0,0, 0, 0.0,0,0,Normal
4.0,184.0,0,0, 0, 0.0,0,0,Normal
64.0,161.0,0,0, 0, 1.4545454545454546,0,0,Normal
118.0,188.0,0,0, 0, 0.0,0,0,Normal
140.0,175.0,0,0, 0, 0.7272727272727273,0,0,Normal
90.0,161.0,0,0, 0, 0.0,0,0,Normal
48.0,175.0,0,0, 0, 0.0,0,0,Normal
48.0,202.0,0,0, 0, 1.4545454545454546,0,0,Normal
60.0,197.0,0,0, 0, 0.0,0,0,Normal
68.0,157.0,0,0, 0, 0.7272727272727273,0,0,Normal
98.0,16.0,0,0, 0, 0.0,0,0,Normal
82.0,0.0,0,0, 0, 0.0,0,0,Normal
58.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
24.0,0.0,0,0, 0, 0.0,0,0,Normal
0.0,0.0,0,0, 0, 0.0,0,0,Normal
0.0,0.0,0,0, 0, 0.0,0,0,Normal
2.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
4.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
8.0,0.0,0,0, 0, 0.0,0,0,Normal
8.0,161.0,0,0, 0, 1.4545454545454546,0,0,Normal
62.0,176.0,0,0, 0, 0.0,0,0,Normal
102.0,194.0,0,0, 0, 0.7272727272727273,0,0,Normal
140.0,156.0,0,0, 0, 0.7272727272727273,0,0,Normal
106.0,189.0,0,0, 0, 0.0,0,0,Normal
80.0,194.0,0,0, 0, 0.0,0,0,Normal
48.0,171.0,0,0, 0, 0.0,0,0,Normal
48.0,159.0,0,0, 0, 0.7272727272727273,0,0,Normal
28.0,188.0,0,0, 0, 0.7272727272727273,0,0,Normal
40.0,62.0,0,0, 0, 0.0,0,0,Normal
64.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
68.0,0.0,0,0, 0, 0.0,0,0,Normal
50.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
8.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
8.0,0.0,0,0, 0, 0.0,0,0,Normal
4.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
4.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
10.0,0.0,0,0, 0, 0.0,0,0,Normal
8.0,84.0,0,0, 0, 1.4545454545454546,0,0,Normal
8.0,183.0,0,0, 0, 0.0,0,0,Normal
68.0,200.0,0,0, 0, 0.7272727272727273,0,0,Normal
120.0,174.0,0,0, 0, 1.0909090909090908,0,0,Normal
142.0,181.0,0,0, 0, 0.0,0,0,Normal
88.0,182.0,0,0, 0, 1.0909090909090908,0,0,Normal
62.0,176.0,0,0, 0, 0.7272727272727273,0,0,Normal
48.0,158.0,0,0, 0, 0.7272727272727273,0,0,Normal
48.0,173.0,0,0, 0, 0.7272727272727273,0,0,Normal
52.0,161.0,0,0, 0, 0.0,0,0,Normal
82.0,18.0,0,0, 0, 0.0,0,0,Normal
84.0,0.0,0,0, 0, 0.0,0,0,Normal
56.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
28.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
2.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 0.0,0,0,Normal
8.0,0.0,0,0, 0, 0.0,0,0,Normal
10.0,0.0,0,0, 0, 0.0,0,0,Normal
8.0,0.0,0,0, 0, 1.0909090909090908,0,0,Normal
4.0,84.0,0,0, 0, 0.7272727272727273,0,0,Normal
